--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
051.691  000.000  000.000: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
051.722  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
051.750  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
052.054  000.057  000.057: require('dap.utils')
052.083  000.329  000.272: require('dap')
052.237  000.049  000.049: require('nio.tasks')
052.285  000.047  000.047: require('nio.control')
052.384  000.098  000.098: require('nio.uv')
052.432  000.047  000.047: require('nio.tests')
052.552  000.074  000.074: require('vim.ui')
052.554  000.121  000.047: require('nio.ui')
052.657  000.060  000.060: require('nio.streams')
052.658  000.104  000.044: require('nio.file')
052.807  000.048  000.048: require('nio.util')
052.838  000.129  000.082: require('nio.logger')
052.840  000.182  000.052: require('nio.lsp')
052.889  000.048  000.048: require('nio.process')
052.892  000.754  000.058: require('nio')
053.149  000.005  000.005: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
053.150  000.059  000.054: require('dapui.config.highlights')
053.175  000.022  000.022: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
053.201  000.192  000.111: require('dapui.config')
053.203  000.252  000.059: require('dapui.util')
053.257  000.054  000.054: require('dapui.windows.layout')
053.259  000.366  000.061: require('dapui.windows')
053.314  000.055  000.055: require('dapui.controls')
053.317  001.233  000.059: require('dapui')
053.354  000.015  000.015: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
053.530  000.061  000.061: require('dapui.client.types')
053.532  000.128  000.068: require('dapui.client')
053.584  000.052  000.052: require('dap.breakpoints')
053.637  000.049  000.049: require('dapui.client.lib')
053.743  000.054  000.054: require('dapui.render.canvas')
053.744  000.103  000.049: require('dapui.elements.breakpoints')
053.806  000.056  000.056: require('dapui.components.breakpoints')
053.893  000.076  000.076: require('dapui.elements.repl')
053.939  000.044  000.044: require('dapui.elements.scopes')
053.994  000.048  000.048: require('dapui.components.scopes')
054.043  000.048  000.048: require('dapui.components.variables')
054.092  000.044  000.044: require('dapui.elements.stacks')
054.187  000.045  000.045: require('dapui.components.frames')
054.188  000.093  000.047: require('dapui.components.threads')
054.240  000.044  000.044: require('dapui.elements.watches')
054.295  000.052  000.052: require('dapui.components.watches')
054.345  000.044  000.044: require('dapui.elements.hover')
054.427  000.046  000.046: require('dapui.components.hover')
054.475  000.045  000.045: require('dapui.elements.console')
054.559  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
054.564  000.000  000.000: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
054.857  000.062  000.062: require('dap-go-ts')
054.860  000.256  000.194: require('dap-go')
054.985  000.047  000.047: sourcing /Users/louishuyng/.local/share/nvim/lazy/nvim-dap/plugin/dap.lua
054.987  000.080  000.033: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
054.989  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
054.992  000.000  000.000: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
055.165  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
055.168  000.000  000.000: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
055.464  000.210  000.210: require('lazyvim.util')
055.471  000.477  000.266: require('lazyvim.config')
055.703  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
055.708  000.000  000.000: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
055.791  000.305  000.304: require('mason-nvim-dap')
055.954  000.162  000.162: require('mason-nvim-dap.settings')
056.030  000.070  000.070: require('dap.ext.vscode')
056.088  000.057  000.057: require('mason-nvim-dap.mappings.filetypes')
056.230  000.075  000.075: require('mason-core.async')
056.286  000.055  000.055: require('mason-core.optional')
056.341  000.054  000.054: require('mason-core.notify')
056.354  000.256  000.072: require('mason-nvim-dap.api.command')
056.652  000.016  000.016: sourcing /Users/louishuyng/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
056.653  000.043  000.027: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
056.657  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
056.664  000.000  000.000: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
056.708  000.310  000.267: require('plenary.json')
056.728  005.630  001.102: require('dap')
056.732  005.785  000.155: require('nvim-dap-virtual-text')
056.761  000.004  000.004: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
056.770  000.006  000.006: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
056.898  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
056.903  000.000  000.000: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
057.189  000.285  000.285: require('mini.pairs')
057.930  000.274  000.274: require('sniprun')
057.947  000.002  000.002: sourcing nvim_exec2() called at /Users/louishuyng/.local/share/nvim/lazy/sniprun/plugin/sniprun.vim:1
057.950  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.local/share/nvim/lazy/sniprun/plugin/sniprun.vim:1
057.955  000.005  000.005: sourcing nvim_exec2() called at /Users/louishuyng/.local/share/nvim/lazy/sniprun/plugin/sniprun.vim:1
057.957  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.local/share/nvim/lazy/sniprun/plugin/sniprun.vim:1
057.962  000.002  000.002: sourcing nvim_exec2() called at /Users/louishuyng/.local/share/nvim/lazy/sniprun/plugin/sniprun.vim:1
057.965  000.002  000.002: sourcing nvim_exec2() called at /Users/louishuyng/.local/share/nvim/lazy/sniprun/plugin/sniprun.vim:1
